"gloss","","gorum","sora","remo","gutob","kharia","juang","gtaq","santali","mundari","ho","korwa","korku","set_v2","pm_v2","set_v1","pm_v1","cv"
"leaf_4","#0035-4","ʔ","0","k'","g","ʔ","g","ʔ","0","0","0","x","0","","","ˀk1a","ˀk1a","C"
"skin_1","#0036-1","u","u","u","i","u","0","u","0","x","x","x","0","","","u1b","u1b","V"
"skin_2","#0036-2","s","s","s","s","s","ch","s","ch","x","x","x","s","","","s2-2","s2-2","C"
"skin_3","#0036-3","a","a","a","a:","a","a","a","a","x","x","x","a:","","","a1","a","V"
"skin_4","#0036-4","l","l","0","l","l","l","0","l","","","","l","","","l1","l","C"
"laugh(v)_1","#0037-1","l","x","x","l","l","l","l","l","l","l","l","l","","","l1","l","C"
"laugh(v)_2","#0037-2","i","x","x","u","a","a","wa","a","a:","a","a:","a","","","i:u:a/gt:wa/N:a","i:u:a/gt:wa/N:a","V"
"laugh(v)_3","#0037-3","0","x","x","0","0","0","0","n","n","n","N","n","","","n","n","C"
"laugh(v)_4","#0037-4","ɖ","x","x","ɖ","ɖ","r","ʔ","ɖ","ɖ","d","d","ɖ","","","d2","d2","C"
"laugh(v)_5","#0037-5","a","x","x","o","a","a","0","a","a:","a","0","a","","","ao1e","ao1e","V"
"forehead_1","#0038-1","0","0","0","s","s","0","s","s","s","s","s","s","","","s1-2","s1-2","C"
"forehead_2","#0038-2","a","a","u","u/a","o/u","ɛ","æ","a","a:","a","a","a","","","a:u:ɛ:æ","a:u:ɛ:æ","V"
"forehead_3","#0038-3","m","mm","m","m","m","m","0","m","m","m","m","mm","","","m1a","m","C"
"forehead_4","#0038-4","a","a","o","o/u","o/a","ɔ","0","a","a:","a","a","a","","","ao1a","ao1a","V"
"forehead_5","#0038-5","ŋ","ŋ","ŋ","ŋ","ŋ/0","ŋ","0","ŋ","ŋ","ŋ","ŋ","0","","","ŋ1","ŋ","C"
"fear_1","#0039-1","b","b","b","b","b","x","b","x","b","x","x","x","","","b1","b","C"
"fear_2","#0039-2","u","a","u","u","o","x","0","x","o","x","x","x","","","u:a:o","u:a:o","V"
"fear_3","#0039-3","t","t","t","t","t","x","ʈ","x","t","x","x","x","","","t1-1b","t","C"
"fear_4","#0039-4","o","o:","u","o","o","x","o","x","o","x","x","x","","","o4b(re:u)","o4b(re:u)","V"
"fear_5","#0039-5","ŋ","ŋ","ŋ","ŋ","ŋ","x","ʔ","x","ŋ","x","x","x","","","ŋ1-3","ŋ1-3","C"
"cook(v)_1","#0040-1","ɖ","d","ɖ","ɖ","ɖ","ɖ","ɖ","x","x","x","x","x","","","d1","d","C"
"cook(v)_2","#0040-2","e","i","o","o","e","ɛ","ue","x","x","x","x","x","","","e:i:o:ue","e:i:o:ue","V"
"cook(v)_3","#0040-3","ɲ","ɲ","Nĭ","ɲ","ɲ","ɲ","0","x","x","x","x","x","","","ɲ1","ɲ","C"
"snake_1","#0041-1","b","b","b","b","b","b","b","b","b","b","b","b","","","b1","b","C"
"snake_2","#0041-2","u","i","u","ui","u","u","o","i","i","i","i:","i","","","V2-u:e:i+ɲ","V2-u:e:i+ɲ","V"
"snake_3","#0041-3","ˀd","ɲ/ŋ","ʔ","0","ɲ","ŋ","ʔ","ɲ","ŋ","ɲ","ŋ","ɲj","","","ɲˀ","ɲˀ","C"
